epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,71.4524,1.20836,1.04913,1.0955,0.94009,0.98109,0.98425,0.60208,1.35778,0.989,1.44293,0.00123566,0.00123566,0.00123566
43,73.0937,1.20966,1.05046,1.10391,0.90333,0.96134,0.95333,0.56573,1.3158,0.98832,1.35748,0.00123094,0.00123094,0.00123094
44,74.6942,1.16674,1.01237,1.08275,0.87619,0.92754,0.9094,0.52763,1.30695,1.07484,1.28624,0.00122622,0.00122622,0.00122622
45,76.3305,1.1842,1.00134,1.10984,0.85212,0.88956,0.91176,0.53303,1.30988,1.06704,1.327,0.00122151,0.00122151,0.00122151
46,78.004,1.20097,1.03905,1.12666,0.92404,0.94444,0.9695,0.598,1.23703,0.98172,1.23924,0.00121679,0.00121679,0.00121679
47,79.7156,1.11758,0.9611,1.11136,0.96204,0.93264,0.96266,0.60334,1.26357,0.95665,1.39563,0.00121208,0.00121208,0.00121208
48,81.4402,1.17976,0.9543,1.09814,0.92311,0.90644,0.9195,0.64554,1.20872,0.94091,1.31264,0.00120736,0.00120736,0.00120736
49,83.1131,1.15526,0.98475,1.11114,0.9248,0.89441,0.91847,0.65538,1.19664,0.92946,1.36276,0.00120265,0.00120265,0.00120265
50,84.7573,1.18782,0.98862,1.09184,0.88202,0.93316,0.94956,0.62478,1.25255,0.92874,1.38609,0.00119793,0.00119793,0.00119793
51,86.4122,1.13467,0.96099,1.10987,0.88886,0.93288,0.97271,0.63315,1.32917,0.92673,1.37839,0.00119322,0.00119322,0.00119322
52,88.055,1.23027,1.01372,1.0988,0.97009,0.91303,0.9815,0.62221,1.31869,0.95117,1.36756,0.0011885,0.0011885,0.0011885
53,89.6673,1.10387,0.9149,1.06714,0.94969,0.94168,0.98161,0.6198,1.25834,0.91368,1.40315,0.00118378,0.00118378,0.00118378
54,91.3538,1.13989,0.9201,1.06974,0.9166,0.91228,0.9379,0.64244,1.18522,0.91409,1.45399,0.00117907,0.00117907,0.00117907
55,92.9773,1.11898,0.91338,1.06175,0.92039,0.8565,0.93699,0.6427,1.16518,0.917,1.3935,0.00117435,0.00117435,0.00117435
56,94.6618,1.13095,0.91663,1.07048,0.95541,0.93258,0.97673,0.66544,1.22078,0.82762,1.39819,0.00116964,0.00116964,0.00116964
57,96.2945,1.12182,0.908,1.06753,0.94625,0.94444,0.97928,0.64384,1.23373,0.84703,1.35529,0.00116492,0.00116492,0.00116492
58,97.9723,1.08662,0.8609,1.05579,0.85642,0.91259,0.94826,0.64503,1.21837,0.9131,1.30843,0.00116021,0.00116021,0.00116021
59,99.68,1.13038,0.87997,1.053,0.86031,0.97222,0.9532,0.60734,1.20988,0.91093,1.26397,0.00115549,0.00115549,0.00115549
